player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
Davion Mitchell,points,8.5,9.8,15.5,5.0,69.0,OVER,9.6,9.8,58.0,42.0,NEUTRAL,24,fanduel,-120,-120,-106,54.5,51.5,59.5,Rested: 1.03x,False,1.04,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Cedric Coward,threes,1.5,1.2,-17.5,5.0,48.0,UNDER,0.6,1.5,40.0,60.0,COLD,25,fanduel,-132,100,-132,56.9,53.2,61.9,Home: 1.30x | Rested: 1.03x,False,1.03,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Payton Pritchard,assists,4.5,5.4,19.5,4.9,68.0,OVER,6.0,5.0,52.0,48.0,HOT,25,fanduel,-104,-104,-122,51.0,48.1,55.9,Rested: 1.03x,False,1.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Bruce Brown,points,7.5,6.6,-11.5,4.8,61.0,UNDER,8.4,6.8,38.0,62.0,HOT,24,fanduel,-128,-104,-128,56.1,52.4,60.9,Home: 0.86x | Rested: 1.03x,False,1.05,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Alperen Sengun,points,20.5,23.8,16.1,4.7,71.0,OVER,24.8,23.0,60.0,40.0,HOT,20,fanduel,-130,-130,-102,56.5,52.8,61.2,Rested: 1.03x,False,0.93,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Cooper Flagg,rebounds,5.5,6.2,13.4,4.6,74.0,OVER,5.2,6.3,64.0,36.0,COLD,25,fanduel,-144,-144,108,59.0,55.1,63.6,Rested: 1.03x,False,0.97,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Bogdan Bogdanovic,points,10.5,7.7,-26.4,4.6,46.0,UNDER,9.0,9.3,45.0,55.0,NEUTRAL,11,fanduel,-136,104,-136,57.6,54.0,62.2,Home: 0.79x | Rested: 1.03x,False,1.02,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Max Christie,rebounds,2.5,3.3,30.2,4.5,60.0,OVER,3.0,3.3,54.0,46.0,COLD,26,fanduel,-144,-144,108,59.0,55.1,63.6,Rested: 1.03x,False,0.96,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Jalen Duren,points,16.5,18.6,12.8,4.4,69.0,OVER,15.4,18.6,59.0,41.0,COLD,22,fanduel,-122,-122,-104,55.0,51.9,59.3,Home: 1.09x | Rested: 1.03x,False,0.98,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Peyton Watson,rebounds,4.5,6.4,41.8,4.4,61.0,OVER,5.6,5.0,54.0,46.0,HOT,24,fanduel,-158,-158,118,61.2,57.2,65.7,Rested: 1.03x | Mins: 1.12x,False,1.12,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Kel'el Ware,points,7.5,8.0,7.0,4.3,65.0,OVER,7.0,11.3,60.0,40.0,COLD,25,fanduel,-111,-111,-115,52.6,49.6,56.9,Home: 0.92x | Rested: 1.03x | Mins: 0.87x,False,0.87,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Neemias Queta,points,9.5,12.9,36.3,3.9,63.0,OVER,11.0,10.1,43.0,57.0,HOT,23,fanduel,-111,-111,-115,52.6,49.6,56.5,Home: 1.14x | Rested: 1.03x,False,1.05,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Cade Cunningham,threes,1.5,2.0,30.7,3.8,60.0,OVER,1.6,1.9,59.0,41.0,COLD,22,fanduel,-194,-194,148,66.0,62.1,69.8,Rested: 1.03x,False,0.92,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Kawhi Leonard,pra,35.5,42.4,19.3,3.6,64.0,OVER,35.0,34.1,53.0,47.0,NEUTRAL,15,fanduel,-118,-118,-112,54.1,50.6,57.8,Home: 1.19x | Rested: 1.03x,False,1.06,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Jaylen Brown,points,29.5,31.9,8.1,3.3,76.0,OVER,30.2,29.1,58.0,42.0,NEUTRAL,24,fanduel,-115,-115,-111,53.5,50.4,56.8,Rested: 1.03x,False,1.08,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Jaren Jackson Jr,points,17.5,12.8,-26.6,3.3,71.0,UNDER,10.2,16.8,48.0,52.0,COLD,23,fanduel,-136,102,-136,57.6,53.8,61.0,Home: 0.89x | Rested: 1.03x,False,0.98,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Jaylen Wells,threes,1.5,2.5,68.7,3.3,55.0,OVER,2.4,1.8,52.0,48.0,HOT,25,fanduel,-158,-158,118,61.2,57.2,64.6,Home: 1.09x | Rested: 1.03x,False,1.08,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Naji Marshall,rebounds,4.5,4.7,4.7,3.1,68.0,OVER,3.2,4.8,62.0,38.0,COLD,26,fanduel,-120,-120,-110,54.5,51.0,57.7,Rested: 1.03x | Mins: 1.13x,False,1.13,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Jamal Murray,assists,6.5,7.3,12.0,3.0,68.0,OVER,7.8,6.9,57.0,43.0,HOT,23,fanduel,-118,-118,-112,54.1,50.6,57.2,Home: 0.94x | Rested: 1.03x,False,0.93,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Cedric Coward,points,13.5,15.8,17.0,-3.0,66.0,OVER,14.0,13.5,40.0,60.0,NEUTRAL,25,fanduel,-112,-112,-118,52.8,49.4,49.8,Home: 1.16x | Rested: 1.03x,False,1.03,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Payton Pritchard,rebounds,3.5,3.7,6.4,-3.0,66.0,OVER,4.2,4.3,56.0,44.0,NEUTRAL,25,fanduel,-166,-166,130,62.4,58.9,59.4,Home: 0.86x | Rested: 1.03x,False,1.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Lauri Markkanen,threes,2.5,2.7,8.1,-3.1,61.0,OVER,2.0,3.0,52.0,48.0,COLD,23,fanduel,-146,-146,110,59.3,55.5,56.3,Home: 1.17x | Rested: 1.03x,False,0.93,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Immanuel Quickley,rebounds,3.5,3.6,4.0,-3.4,64.0,OVER,2.4,4.2,56.0,44.0,COLD,25,fanduel,-160,-160,124,61.5,58.0,58.2,Home: 1.09x | Rested: 1.03x,False,1.02,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Tobias Harris,pra,20.5,20.4,-0.7,-3.4,61.0,UNDER,21.0,21.6,53.0,47.0,NEUTRAL,15,fanduel,-104,-122,-104,51.0,48.1,47.6,Home: 0.94x | Rested: 1.03x,False,0.95,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
