prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
be195dd4a64cb831:rebounds:5.5:under,Zion Williamson,rebounds,5.5,-101,PASS,-0.0025,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
edd43e3a6b6d2de3:rebounds:7.5:over,Derik Queen,rebounds,7.5,-130,PASS,0.0495,0.2294,8.09,0.6147,,,UP,9.0,7.6,7.2,0,,0,,0
edd43e3a6b6d2de3:rebounds:7.5:under,Derik Queen,rebounds,7.5,100,PASS,-0.1147,0.2294,8.09,0.3853,,,UP,9.0,7.6,7.2,0,,0,,0
7c0a71dba5efab2c:rebounds:7.5:over,P.J. Washington,rebounds,7.5,107,PASS,0.0169,0.2,7.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:rebounds:7.5:under,P.J. Washington,rebounds,7.5,-141,PASS,-0.0851,0.2,7.5,0.5,,,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:rebounds:5.5:over,Saddiq Bey,rebounds,5.5,-114,PASS,-0.0327,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:rebounds:5.5:under,Saddiq Bey,rebounds,5.5,-115,PASS,-0.0349,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
56921d9666b86a8e:rebounds:3.5:over,Jeremiah Fears,rebounds,3.5,133,PASS,0.0708,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
56921d9666b86a8e:rebounds:3.5:under,Jeremiah Fears,rebounds,3.5,-176,PASS,-0.1377,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:threes:2.5:over,Trey Murphy III,threes,2.5,130,PASS,0.0652,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:threes:2.5:under,Trey Murphy III,threes,2.5,-172,PASS,-0.1324,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:threes:1.5:over,Saddiq Bey,threes,1.5,151,PASS,0.1016,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:threes:1.5:under,Saddiq Bey,threes,1.5,-201,PASS,-0.1678,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
231fe865ee873acd:threes:1.5:over,Herb Jones,threes,1.5,168,PASS,0.1269,0.2,1.5,0.5,,,FLAT,0.0,0.0,0.0,0,,0,,0
231fe865ee873acd:threes:1.5:under,Herb Jones,threes,1.5,-225,PASS,-0.1923,0.2,1.5,0.5,,,FLAT,0.0,0.0,0.0,0,,0,,0
4ca49f035ca2788b:threes:2.5:over,Klay Thompson,threes,2.5,-102,PASS,-0.005,0.1,2.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
4ca49f035ca2788b:threes:2.5:under,Klay Thompson,threes,2.5,-130,PASS,-0.0652,0.1,2.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:threes:2.5:over,Jordan Poole,threes,2.5,152,PASS,0.1032,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:threes:2.5:under,Jordan Poole,threes,2.5,-200,PASS,-0.1667,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:threes:1.5:over,P.J. Washington,threes,1.5,-144,PASS,-0.0902,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:threes:1.5:under,P.J. Washington,threes,1.5,109,PASS,0.0215,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
231fe865ee873acd:assists:2.5:over,Herb Jones,assists,2.5,164,PASS,-0.0703,0.3829,2.0,0.3085,,,FLAT,2.0,2.0,2.0,0,,0,,0
231fe865ee873acd:assists:2.5:under,Herb Jones,assists,2.5,-217,PASS,0.0069,0.3829,2.0,0.6915,,,FLAT,2.0,2.0,2.0,0,,0,,0
edd43e3a6b6d2de3:assists:4.5:over,Derik Queen,assists,4.5,136,PASS,0.2523,0.3521,5.08,0.6761,,,UP,5.8,4.8,5.266666666666667,0,,0,,0
edd43e3a6b6d2de3:assists:4.5:under,Derik Queen,assists,4.5,-179,PASS,-0.3176,0.3521,5.08,0.3239,,,UP,5.8,4.8,5.266666666666667,0,,0,,0
f7e5f5c37ffec5f7:points:19.5:over,Trey Murphy III,points,19.5,106,PASS,0.0146,0.2,19.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:points:19.5:under,Trey Murphy III,points,19.5,-137,PASS,-0.0781,0.2,19.5,0.5,,,UNKNOWN,,,,0,,0,,0
08937c7231a9a619:points:21.5:over,Cooper Flagg,points,21.5,-113,PASS,0.0795,0.12,23.11,0.61,QUESTIONABLE,NBA Official Report,UP,26.0,24.0,21.933333333333334,0,,0,,0
08937c7231a9a619:points:21.5:under,Cooper Flagg,points,21.5,-113,PASS,-0.1405,0.12,23.11,0.39,QUESTIONABLE,NBA Official Report,UP,26.0,24.0,21.933333333333334,0,,0,,0
231fe865ee873acd:pra:14.5:over,Herb Jones,pra,14.5,-106,PASS,-0.514,0.95,8.0,0.0006,,,FLAT,8.0,8.0,8.0,0,,0,,0
231fe865ee873acd:pra:14.5:under,Herb Jones,pra,14.5,-125,UNDER,0.4439,0.95,8.0,0.9994,,,FLAT,8.0,8.0,8.0,1,1.0,1,1.0,1
ed12b766ab682805:pra:21.5:over,Jordan Poole,pra,21.5,-105,PASS,-0.0122,0.2,21.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:pra:21.5:under,Jordan Poole,pra,21.5,-125,PASS,-0.0556,0.2,21.5,0.5,,,UNKNOWN,,,,0,,0,,0
08937c7231a9a619:pra:31.5:over,Cooper Flagg,pra,31.5,-116,PASS,0.0647,0.1036,33.67,0.6018,QUESTIONABLE,NBA Official Report,UP,37.0,34.5,32.0,0,,0,,0
08937c7231a9a619:pra:31.5:under,Cooper Flagg,pra,31.5,-113,PASS,-0.1323,0.1036,33.67,0.3982,QUESTIONABLE,NBA Official Report,UP,37.0,34.5,32.0,0,,0,,0
7e17dfaa4418e311:pra:20.5:over,Saddiq Bey,pra,20.5,-114,PASS,-0.0327,0.2,20.5,0.5,,,UNKNOWN,,,,0,,0,,0
7e17dfaa4418e311:pra:20.5:under,Saddiq Bey,pra,20.5,-114,PASS,-0.0327,0.2,20.5,0.5,,,UNKNOWN,,,,0,,0,,0
be195dd4a64cb831:rebounds:6.5:over,Zion Williamson,rebounds,6.5,122,PASS,0.0495,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
be195dd4a64cb831:rebounds:6.5:under,Zion Williamson,rebounds,6.5,-159,PASS,-0.1139,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:rebounds:6.5:over,Trey Murphy III,rebounds,6.5,106,PASS,0.0146,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:rebounds:6.5:under,Trey Murphy III,rebounds,6.5,-139,PASS,-0.0816,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:rebounds:2.5:over,Jordan Poole,rebounds,2.5,100,PASS,0.0,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:rebounds:2.5:under,Jordan Poole,rebounds,2.5,-132,PASS,-0.069,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
d1991c3f6dd1389a:rebounds:12.5:over,Anthony Davis,rebounds,12.5,109,PASS,-0.1086,0.2602,11.54,0.3699,,,UP,11.8,10.9,11.153846153846153,0,,0,,0
d1991c3f6dd1389a:rebounds:12.5:under,Anthony Davis,rebounds,12.5,-141,PASS,0.0451,0.2602,11.54,0.6301,,,UP,11.8,10.9,11.153846153846153,0,,0,,0
08937c7231a9a619:rebounds:6.5:over,Cooper Flagg,rebounds,6.5,122,PASS,-0.0106,0.1,6.26,0.4398,QUESTIONABLE,NBA Official Report,FLAT,6.2,6.2,6.133333333333334,0,,0,,0
08937c7231a9a619:rebounds:6.5:under,Cooper Flagg,rebounds,6.5,-159,PASS,-0.0537,0.1,6.26,0.5602,QUESTIONABLE,NBA Official Report,FLAT,6.2,6.2,6.133333333333334,0,,0,,0
75bb0beb4aef286b:threes:0.5:over,Naji Marshall,threes,0.5,-218,PASS,-0.1855,0.2,0.5,0.5,,,UNKNOWN,,,,0,,0,,0
75bb0beb4aef286b:threes:0.5:under,Naji Marshall,threes,0.5,163,PASS,0.1198,0.2,0.5,0.5,,,UNKNOWN,,,,0,,0,,0
